Row,Col,Min,Max,Avg,Sum,Count
0,0,5,7,6,8581,1379
0,1,4,7,5,7258,1379
0,2,4,6,4,6715,1379
0,3,3,7,4,6341,1379
0,4,3,6,4,5885,1379
0,5,2,6,3,5377,1379
0,6,2,6,3,5097,1379
0,7,1,5,2,3629,1379
0,8,3,5,3,4667,1379
0,9,0,4,2,3264,1379
0,10,1,4,2,3075,1379
0,11,1,5,2,3409,1379
0,12,1,4,2,3271,1379
0,13,1,4,2,3349,1379
0,14,2,5,3,4271,1379
0,15,2,6,3,5017,1379
1,0,5,7,6,9103,1467
1,1,4,7,5,8567,1467
1,2,3,6,4,7249,1467
1,3,3,6,4,6587,1467
1,4,3,6,4,6231,1467
1,5,2,6,3,5656,1467
1,6,2,5,3,5083,1467
1,7,1,5,2,3786,1467
1,8,2,5,3,4949,1467
1,9,1,4,2,3558,1467
1,10,1,3,2,3286,1467
1,11,1,4,2,3607,1467
1,12,1,4,2,3344,1467
1,13,1,4,2,3309,1467
1,14,1,4,2,3790,1467
1,15,1,4,2,3495,1467
2,0,6,8,7,9248,1308
2,1,5,7,6,8274,1308
2,2,4,7,5,7445,1308
2,3,4,7,5,7095,1308
2,4,4,7,5,7137,1308
2,5,3,7,4,6227,1308
2,6,3,6,4,5547,1308
2,7,1,5,2,3626,1308
2,8,3,6,4,5821,1308
2,9,2,4,3,3952,1308
2,10,2,4,2,3725,1308
2,11,255,0,0,0,0
2,12,1,5,2,3798,1308
2,13,2,5,2,3596,1308
2,14,1,5,3,3930,1308
2,15,1,5,2,3280,1308
3,0,6,9,7,7520,1013
3,1,6,8,7,7134,1013
3,2,7,9,7,8061,1013
3,3,11,15,12,12814,1013
3,4,7,10,8,8349,1013
3,5,10,13,11,11339,1013
3,6,4,7,5,5212,1013
3,7,2,6,3,3381,1013
3,8,4,6,5,5067,1013
3,9,2,5,3,3453,1013
3,10,2,4,2,2894,1013
3,11,1,4,2,2685,1013
3,12,2,4,2,2759,1013
3,13,2,4,2,2479,1013
3,14,1,4,2,2744,1013
3,15,1,4,2,2311,1013
4,0,6,8,6,8559,1230
4,1,5,8,6,8098,1230
4,2,5,7,6,7718,1230
4,3,4,7,5,6744,1230
4,4,4,7,5,6375,1230
4,5,3,7,5,6193,1230
4,6,3,6,4,5952,1230
4,7,1,5,2,3467,1230
4,8,3,5,3,4894,1230
4,9,2,4,2,3301,1230
4,10,255,0,0,0,0
4,11,1,5,2,3065,1230
4,12,1,4,2,2705,1230
4,13,0,4,2,2601,1230
4,14,1,4,2,2917,1230
4,15,255,0,0,0,0
5,0,6,9,7,12048,1559
5,1,6,9,7,11731,1559
5,2,7,10,8,13177,1559
5,3,12,15,13,21261,1559
5,4,7,11,8,13317,1559
5,5,12,15,13,20939,1559
5,6,4,7,5,8318,1559
5,7,2,6,3,4834,1559
5,8,3,6,4,7440,1559
5,9,2,5,3,5059,1559
5,10,1,4,2,3949,1559
5,11,1,4,2,3714,1559
5,12,1,5,2,3520,1559
5,13,1,4,2,3253,1559
5,14,0,4,2,3489,1559
5,15,0,4,1,2452,1559
6,0,5,7,6,7719,1254
6,1,4,7,5,6712,1254
6,2,4,7,5,6634,1254
6,3,3,7,5,6343,1254
6,4,3,7,4,5787,1254
6,5,2,6,4,5024,1254
6,6,3,5,3,4935,1254
6,7,1,4,2,3068,1254
6,8,3,5,3,4511,1254
6,9,1,4,2,2812,1254
6,10,255,0,0,0,0
6,11,1,4,2,3158,1254
6,12,1,4,2,2546,1254
6,13,0,4,1,2355,1254
6,14,1,3,2,2522,1254
6,15,0,3,1,2277,1254
7,0,5,8,6,7579,1138
7,1,5,7,6,7040,1138
7,2,4,7,5,6341,1138
7,3,4,7,5,5991,1138
7,4,4,8,5,6780,1138
7,5,4,7,5,6141,1138
7,6,3,6,4,5240,1138
7,7,2,5,3,3902,1138
7,8,3,6,4,5291,1138
7,9,3,5,3,4205,1138
7,10,255,0,0,0,0
7,11,2,5,3,3528,1138
7,12,2,5,2,3373,1138
7,13,255,0,0,0,0
7,14,2,5,2,3293,1138
7,15,255,0,0,0,0
