Row,Col,Min,Max,Avg,Sum,Count
0,0,5,7,6,11305,1813
0,1,4,7,5,9601,1813
0,2,3,6,4,8790,1813
0,3,3,6,4,8343,1813
0,4,3,6,4,7811,1813
0,5,2,6,3,7185,1813
0,6,2,6,3,6618,1813
0,7,1,5,2,4752,1813
0,8,2,5,3,6167,1813
0,9,1,4,2,4369,1813
0,10,0,4,2,4050,1813
0,11,1,4,2,4489,1813
0,12,1,4,2,4271,1813
0,13,1,4,2,4413,1813
0,14,1,6,3,5595,1813
0,15,2,6,3,6562,1813
1,0,5,7,6,11930,1921
1,1,4,7,5,11243,1921
1,2,4,6,4,9488,1921
1,3,3,6,4,8650,1921
1,4,3,6,4,8252,1921
1,5,2,6,3,7555,1921
1,6,2,5,3,6704,1921
1,7,1,4,2,4966,1921
1,8,2,5,3,6492,1921
1,9,1,4,2,4634,1921
1,10,1,4,2,4261,1921
1,11,1,4,2,4714,1921
1,12,1,4,2,4368,1921
1,13,1,4,2,4327,1921
1,14,1,4,2,4964,1921
1,15,1,4,2,4556,1921
2,0,6,8,7,12052,1704
2,1,5,8,6,10834,1704
2,2,4,8,5,9681,1704
2,3,4,8,5,9257,1704
2,4,4,8,5,9424,1704
2,5,3,8,4,8270,1704
2,6,2,7,4,7234,1704
2,7,1,5,2,4755,1704
2,8,3,6,4,7548,1704
2,9,1,5,3,5204,1704
2,10,1,4,2,4847,1704
2,11,255,0,0,0,0
2,12,2,4,2,4935,1704
2,13,1,5,2,4676,1704
2,14,1,5,3,5134,1704
2,15,1,4,2,4268,1704
3,0,6,9,7,10221,1375
3,1,6,10,7,9789,1375
3,2,5,10,7,10955,1375
3,3,6,15,12,17456,1375
3,4,5,11,8,11507,1375
3,5,5,14,11,15660,1375
3,6,4,7,5,7079,1375
3,7,2,5,3,4563,1375
3,8,4,6,5,6883,1375
3,9,2,5,3,4798,1375
3,10,1,5,2,3942,1375
3,11,1,5,2,3652,1375
3,12,1,4,2,3750,1375
3,13,1,5,2,3413,1375
3,14,1,4,2,3740,1375
3,15,1,4,2,3078,1375
4,0,6,8,6,11386,1637
4,1,5,8,6,10773,1637
4,2,5,8,6,10288,1637
4,3,4,7,5,9070,1637
4,4,4,7,5,8650,1637
4,5,3,7,5,8417,1637
4,6,3,7,4,7968,1637
4,7,1,5,2,4639,1637
4,8,3,5,4,6563,1637
4,9,2,4,2,4415,1637
4,10,255,0,0,0,0
4,11,1,4,2,4122,1637
4,12,1,4,2,3612,1637
4,13,1,4,2,3454,1637
4,14,1,4,2,3839,1637
4,15,255,0,0,0,0
5,0,6,9,7,14625,1993
5,1,6,9,7,14254,1993
5,2,7,9,7,15924,1993
5,3,11,15,12,25630,1993
5,4,4,8,5,11581,1993
5,5,3,7,4,9278,1993
5,6,2,6,4,8552,1993
5,7,1,5,2,5687,1993
5,8,2,6,4,8368,1993
5,9,2,4,2,5390,1993
5,10,1,4,2,4597,1993
5,11,1,4,2,4607,1993
5,12,1,4,2,4359,1993
5,13,1,4,2,4051,1993
5,14,0,4,2,4376,1993
5,15,0,4,1,3060,1993
6,0,5,8,6,10094,1638
6,1,4,7,5,8787,1638
6,2,4,8,5,8717,1638
6,3,3,13,5,8338,1638
6,4,3,7,4,7630,1638
6,5,2,6,4,6700,1638
6,6,2,6,3,6493,1638
6,7,1,5,2,3990,1638
6,8,3,5,3,5912,1638
6,9,0,4,2,3703,1638
6,10,255,0,0,0,0
6,11,1,4,2,4083,1638
6,12,1,3,1,3268,1638
6,13,0,4,1,3100,1638
6,14,0,4,2,3317,1638
6,15,1,4,1,2974,1638
7,0,5,8,6,10053,1506
7,1,5,8,6,9305,1506
7,2,4,7,5,8445,1506
7,3,4,7,5,7990,1506
7,4,3,8,6,9115,1506
7,5,2,8,5,8255,1506
7,6,3,7,4,6919,1506
7,7,2,5,3,5143,1506
7,8,3,6,4,7048,1506
7,9,2,5,3,5524,1506
7,10,255,0,0,0,0
7,11,2,5,3,4749,1506
7,12,1,4,2,4472,1506
7,13,255,0,0,0,0
7,14,1,5,2,4313,1506
7,15,255,0,0,0,0
