Row,Col,Min,Max,Avg,Sum,Count
0,0,8,13,10,13672,1269
0,1,8,12,10,13379,1269
0,2,9,12,11,14015,1269
0,3,9,13,10,13661,1269
0,4,9,12,10,12964,1269
0,5,8,11,9,11871,1269
0,6,8,12,10,12736,1269
0,7,7,9,7,9729,1269
0,8,7,12,9,12113,1269
0,9,8,11,10,12698,1269
0,10,5,11,9,12226,1269
0,11,7,10,8,10484,1269
0,12,7,11,9,11536,1269
0,13,1,10,8,10382,1269
0,14,5,10,8,10430,1269
0,15,0,10,8,10963,1269
1,0,10,13,11,19262,1707
1,1,10,12,10,17838,1707
1,2,10,12,10,18522,1707
1,3,10,12,10,18278,1707
1,4,9,12,11,18797,1707
1,5,9,12,10,17858,1707
1,6,10,12,10,18760,1707
1,7,7,11,8,14592,1707
1,8,9,11,10,17661,1707
1,9,7,10,8,14282,1707
1,10,8,10,9,15659,1707
1,11,7,10,8,14538,1707
1,12,6,9,7,13280,1707
1,13,7,10,8,13721,1707
1,14,7,10,8,14044,1707
1,15,7,10,7,12984,1707
2,0,10,13,10,14246,1322
2,1,9,12,10,13821,1322
2,2,8,11,9,12028,1322
2,3,8,11,9,12095,1322
2,4,8,12,10,13675,1322
2,5,8,11,9,11957,1322
2,6,8,12,9,12223,1322
2,7,6,9,7,10097,1322
2,8,8,11,9,12380,1322
2,9,8,10,9,12227,1322
2,10,7,10,7,10323,1322
2,11,255,0,0,0,0
2,12,5,9,7,9623,1322
2,13,6,9,7,9798,1322
2,14,7,10,7,10185,1322
2,15,6,8,6,9227,1322
3,0,10,13,11,8478,757
3,1,9,12,10,7954,757
3,2,9,13,10,8156,757
3,3,9,12,10,7994,757
3,4,9,11,9,7509,757
3,5,9,11,10,7609,757
3,6,8,11,9,7047,757
3,7,6,9,7,5439,757
3,8,9,12,9,7299,757
3,9,7,9,8,6254,757
3,10,7,11,8,6677,757
3,11,8,10,8,6547,757
3,12,7,9,7,5752,757
3,13,6,8,7,5351,757
3,14,5,8,6,4866,757
3,15,6,8,6,4985,757
4,0,9,11,10,11556,1117
4,1,8,11,9,11094,1117
4,2,10,13,11,13199,1117
4,3,9,13,10,11612,1117
4,4,9,11,9,10681,1117
4,5,7,10,9,10150,1117
4,6,8,10,9,10088,1117
4,7,7,9,7,8438,1117
4,8,10,12,10,11735,1117
4,9,7,9,8,9207,1117
4,10,255,0,0,0,0
4,11,7,11,8,9571,1117
4,12,7,9,7,8682,1117
4,13,6,8,6,7265,1117
4,14,5,8,6,7200,1117
4,15,255,0,0,0,0
5,0,10,12,10,19366,1768
5,1,8,11,9,16918,1768
5,2,9,13,10,19160,1768
5,3,9,13,10,18370,1768
5,4,9,11,9,17544,1768
5,5,8,11,9,16282,1768
5,6,8,11,9,17391,1768
5,7,7,11,7,13239,1768
5,8,10,12,10,18687,1768
5,9,8,11,9,16838,1768
5,10,9,12,10,18089,1768
5,11,8,11,9,16433,1768
5,12,8,10,8,15595,1768
5,13,6,9,7,12725,1768
5,14,5,8,7,12395,1768
5,15,6,9,6,11416,1768
6,0,11,13,11,15996,1375
6,1,9,12,10,13911,1375
6,2,9,11,9,13569,1375
6,3,8,11,9,13259,1375
6,4,9,12,10,14146,1375
6,5,7,10,8,11454,1375
6,6,7,12,9,13380,1375
6,7,7,10,8,12014,1375
6,8,9,11,9,13393,1375
6,9,7,9,8,11363,1375
6,10,255,0,0,0,0
6,11,7,9,8,11188,1375
6,12,6,9,7,10115,1375
6,13,6,8,7,9782,1375
6,14,4,8,5,8174,1375
6,15,4,7,5,7969,1375
7,0,9,12,9,8381,846
7,1,9,12,10,8749,846
7,2,8,11,9,7814,846
7,3,9,11,9,8335,846
7,4,10,12,10,8950,846
7,5,8,12,9,7841,846
7,6,9,11,10,8568,846
7,7,6,10,8,6799,846
7,8,9,12,10,8736,846
7,9,8,10,9,7692,846
7,10,255,0,0,0,0
7,11,7,10,7,6653,846
7,12,6,8,6,5633,846
7,13,255,0,0,0,0
7,14,5,7,5,4618,846
7,15,255,0,0,0,0
