Row,Col,Min,Max,Avg,Sum,Count
0,0,0,3,1,2037,1730
0,1,0,2,0,568,1730
0,2,0,1,0,421,1730
0,3,0,2,0,1044,1730
0,4,0,2,0,449,1730
0,5,0,2,0,164,1730
0,6,0,2,0,398,1730
0,7,0,2,0,121,1730
0,8,0,3,0,1486,1730
0,9,0,2,0,436,1730
0,10,0,1,0,483,1730
0,11,0,2,0,1088,1730
0,12,0,2,0,763,1730
0,13,0,2,0,708,1730
0,14,0,3,1,2008,1730
0,15,1,3,2,3564,1730
1,0,0,3,1,2256,1732
1,1,0,2,0,735,1732
1,2,0,2,0,620,1732
1,3,0,2,0,1014,1732
1,4,0,2,0,483,1732
1,5,0,2,0,115,1732
1,6,0,2,0,398,1732
1,7,0,1,0,82,1732
1,8,0,3,0,1577,1732
1,9,0,2,0,461,1732
1,10,0,2,0,481,1732
1,11,0,2,0,1065,1732
1,12,0,2,0,658,1732
1,13,0,2,0,441,1732
1,14,0,2,0,1100,1732
1,15,0,2,0,1285,1732
2,0,0,3,1,2197,1753
2,1,0,2,0,708,1753
2,2,0,2,0,609,1753
2,3,0,2,0,981,1753
2,4,0,2,0,671,1753
2,5,0,2,0,178,1753
2,6,0,2,0,478,1753
2,7,0,2,0,157,1753
2,8,0,3,1,1921,1753
2,9,0,2,0,482,1753
2,10,0,2,0,422,1753
2,11,255,0,0,0,0
2,12,0,2,0,309,1753
2,13,0,2,0,228,1753
2,14,0,3,0,607,1753
2,15,0,2,0,351,1753
3,0,0,2,1,1628,1419
3,1,0,2,0,509,1419
3,2,0,1,0,414,1419
3,3,0,3,0,808,1419
3,4,0,2,0,759,1419
3,5,0,2,0,264,1419
3,6,0,2,0,429,1419
3,7,0,1,0,71,1419
3,8,0,2,1,1506,1419
3,9,0,2,0,549,1419
3,10,0,1,0,342,1419
3,11,0,3,0,726,1419
3,12,0,2,0,286,1419
3,13,0,1,0,112,1419
3,14,0,2,0,386,1419
3,15,0,1,0,219,1419
4,0,0,2,1,2182,1650
4,1,0,3,0,903,1650
4,2,0,2,0,1394,1650
4,3,0,2,0,972,1650
4,4,0,2,0,609,1650
4,5,0,2,0,346,1650
4,6,0,2,0,747,1650
4,7,0,2,0,78,1650
4,8,0,2,0,1571,1650
4,9,0,3,0,571,1650
4,10,255,0,0,0,0
4,11,0,2,0,887,1650
4,12,0,1,0,129,1650
4,13,0,1,0,55,1650
4,14,0,2,0,388,1650
4,15,255,0,0,0,0
5,0,0,2,1,2297,1797
5,1,0,3,0,1054,1797
5,2,0,2,0,914,1797
5,3,0,2,0,819,1797
5,4,0,2,0,613,1797
5,5,0,2,0,366,1797
5,6,0,2,0,697,1797
5,7,0,1,0,260,1797
5,8,0,2,1,2140,1797
5,9,0,2,0,826,1797
5,10,0,2,0,555,1797
5,11,0,1,0,713,1797
5,12,0,1,0,298,1797
5,13,0,1,0,134,1797
5,14,0,2,0,520,1797
5,15,0,1,0,80,1797
6,0,0,2,1,1590,1509
6,1,0,2,0,421,1509
6,2,0,2,0,647,1509
6,3,0,2,0,974,1509
6,4,0,2,0,235,1509
6,5,0,3,0,118,1509
6,6,0,2,0,348,1509
6,7,0,2,0,157,1509
6,8,0,2,1,1646,1509
6,9,0,1,0,278,1509
6,10,255,0,0,0,0
6,11,0,2,0,833,1509
6,12,0,1,0,76,1509
6,13,0,2,0,52,1509
6,14,0,2,0,144,1509
6,15,0,2,0,114,1509
7,0,0,2,1,1958,1693
7,1,0,2,0,955,1693
7,2,0,2,0,360,1693
7,3,0,3,0,533,1693
7,4,0,2,0,802,1693
7,5,0,2,0,356,1693
7,6,0,3,0,383,1693
7,7,0,2,0,203,1693
7,8,0,2,1,1934,1693
7,9,0,2,0,1574,1693
7,10,255,0,0,0,0
7,11,0,2,0,718,1693
7,12,0,1,0,380,1693
7,13,255,0,0,0,0
7,14,0,2,0,313,1693
7,15,255,0,0,0,0
